Algorithm,Mean_Eating_Events,Std_Eating_Events,Mean_Fairness,Std_Fairness,Mean_Reward,Std_Reward,Mean_Length,Success_Rate,Efficiency
PPO,0.68,2.5095019426172995,0.935364888320216,0.21989153878701717,-1290.441046922455,1796.3810215746025,138.62,0.12,0.0011331840924464786
A2C,0.22,0.41424630354415964,0.9696551724137931,0.0571374211785048,-2382.8950400000367,6.623014494797742,1000.0,0.22,0.00021999999999999998
